"2016
rank","City","State[5]","2016
estimate","2010
Census","Change","2014 land area","2014 land area","2010 population density","2010 population density","Location"
15,"Indianapolis[11]","Indiana","855,164","820,445","7000423172790375950<U+2660>+4.23%","361.4 sq mi","936.0 km2","2,270/sq mi","880/km2","39°46'36<U+2033>N 86°08'45<U+2033>W<U+FEFF> / <U+FEFF>39.7767°N 86.1459°W<U+FEFF> / 39.7767; -86.1459<U+FEFF> (14 Indianapolis)"
16,"Fort Worth","Texas","854,113","741,206","7001152328772298120<U+2660>+15.23%","339.8 sq mi","880.1 km2","2,181/sq mi","842/km2","32°46'46<U+2033>N 97°20'47<U+2033>W<U+FEFF> / <U+FEFF>32.7795°N 97.3463°W<U+FEFF> / 32.7795; -97.3463<U+FEFF> (16 Fort Worth)"
17,"Charlotte","North Carolina","842,051","731,424","7001151248796867480<U+2660>+15.12%","297.7 sq mi","771.0 km2","2,457/sq mi","949/km2","35°12'31<U+2033>N 80°49'51<U+2033>W<U+FEFF> / <U+FEFF>35.2087°N 80.8307°W<U+FEFF> / 35.2087; -80.8307<U+FEFF> (17 Charlotte)"
18,"Seattle","Washington","704,352","608,660","7001157217494167520<U+2660>+15.72%","83.9 sq mi","217.3 km2","7,251/sq mi","2,800/km2","47°37'14<U+2033>N 122°21'03<U+2033>W<U+FEFF> / <U+FEFF>47.6205°N 122.3509°W<U+FEFF> / 47.6205; -122.3509<U+FEFF> (20 Seattle)"
19,"Denver[12]","Colorado","693,060","600,158","7001154795903745350<U+2660>+15.48%","153.0 sq mi","396.3 km2","3,923/sq mi","1,515/km2","39°45'42<U+2033>N 104°52'50<U+2033>W<U+FEFF> / <U+FEFF>39.7618°N 104.8806°W<U+FEFF> / 39.7618; -104.8806<U+FEFF> (Denver)"
20,"El Paso","Texas","683,080","649,121","7000523153618508720<U+2660>+5.23%","255.2 sq mi","661.0 km2","2,543/sq mi","982/km2","31°50'54<U+2033>N 106°25'37<U+2033>W<U+FEFF> / <U+FEFF>31.8484°N 106.4270°W<U+FEFF> / 31.8484; -106.4270<U+FEFF> (19 El Paso)"
21,"Washington[13]","District of Columbia","681,170","601,723","7001132032513299310<U+2660>+13.20%","61.0 sq mi","158.0 km2","9,856/sq mi","3,805/km2","38°54'15<U+2033>N 77°01'02<U+2033>W<U+FEFF> / <U+FEFF>38.9041°N 77.0171°W<U+FEFF> / 38.9041; -77.0171<U+FEFF> (Washington, D.C.)"
22,"Boston","Massachusetts","673,184","617,594","7000900105894811150<U+2660>+9.00%","48.3 sq mi","125.1 km2","12,793/sq mi","4,939/km2","42°19'55<U+2033>N 71°01'13<U+2033>W<U+FEFF> / <U+FEFF>42.3320°N 71.0202°W<U+FEFF> / 42.3320; -71.0202<U+FEFF> (Boston)"
23,"Detroit","Michigan","672,795","713,777","2999425843085445450<U+2660>-5.74%","138.8 sq mi","359.5 km2","5,144/sq mi","1,986/km2","42°22'59<U+2033>N 83°06'08<U+2033>W<U+FEFF> / <U+FEFF>42.3830°N 83.1022°W<U+FEFF> / 42.3830; -83.1022<U+FEFF> (18 Detroit)"
24,"Nashville[14]","Tennessee","660,388","601,222","7000984095725040000<U+2660>+9.84%","475.1 sq mi","1,230.5 km2","1,265/sq mi","488/km2","36°10'18<U+2033>N 86°47'06<U+2033>W<U+FEFF> / <U+FEFF>36.1718°N 86.7850°W<U+FEFF> / 36.1718; -86.7850<U+FEFF> (Nashville)"
25,"Memphis","Tennessee","652,717","646,889","6999900927361572080<U+2660>+0.90%","315.1 sq mi","816.1 km2","2,053/sq mi","793/km2","35°06'13<U+2033>N 89°58'43<U+2033>W<U+FEFF> / <U+FEFF>35.1035°N 89.9785°W<U+FEFF> / 35.1035; -89.9785<U+FEFF> (Memphis)"
26,"Portland","Oregon","639,863","583,776","7000960762347201670<U+2660>+9.61%","133.4 sq mi","345.5 km2","4,375/sq mi","1,689/km2","45°32'13<U+2033>N 122°39'00<U+2033>W<U+FEFF> / <U+FEFF>45.5370°N 122.6500°W<U+FEFF> / 45.5370; -122.6500<U+FEFF> (Portland)"
27,"Oklahoma City","Oklahoma","638,367","579,999","7001100634656266650<U+2660>+10.06%","606.4 sq mi","1,570.6 km2","956/sq mi","369/km2","35°28'02<U+2033>N 97°30'49<U+2033>W<U+FEFF> / <U+FEFF>35.4671°N 97.5137°W<U+FEFF> / 35.4671; -97.5137<U+FEFF> (Oklahoma City)"
28,"Las Vegas","Nevada","632,912","583,756","7000842064150090110<U+2660>+8.42%","135.8 sq mi","351.7 km2","4,298/sq mi","1,659/km2","36°13'40<U+2033>N 115°15'50<U+2033>W<U+FEFF> / <U+FEFF>36.2277°N 115.2640°W<U+FEFF> / 36.2277; -115.2640<U+FEFF> (Las Vegas)"
29,"Louisville[15]","Kentucky","616,261","597,337","7000316806091034040<U+2660>+3.17%","325.2 sq mi","842.3 km2","1,837/sq mi","709/km2","38°10'41<U+2033>N 85°40'00<U+2033>W<U+FEFF> / <U+FEFF>38.1781°N 85.6667°W<U+FEFF> / 38.1781; -85.6667<U+FEFF> (Louisville)"
30,"Baltimore[16]","Maryland","614,664","620,961","2999898592665239850<U+2660>-1.01%","80.9 sq mi","209.5 km2","7,672/sq mi","2,962/km2","39°18'01<U+2033>N 76°36'38<U+2033>W<U+FEFF> / <U+FEFF>39.3002°N 76.6105°W<U+FEFF> / 39.3002; -76.6105<U+FEFF> (Baltimore)"
31,"Milwaukee","Wisconsin","595,047","594,833","6998359764841560530<U+2660>+0.04%","96.1 sq mi","248.9 km2","6,188/sq mi","2,389/km2","43°03'48<U+2033>N 87°58'00<U+2033>W<U+FEFF> / <U+FEFF>43.0633°N 87.9667°W<U+FEFF> / 43.0633; -87.9667<U+FEFF> (Milwaukee)"
32,"Albuquerque","New Mexico","559,277","545,852","7000245945787502840<U+2660>+2.46%","187.7 sq mi","486.1 km2","2,908/sq mi","1,123/km2","35°06'20<U+2033>N 106°38'51<U+2033>W<U+FEFF> / <U+FEFF>35.1056°N 106.6474°W<U+FEFF> / 35.1056; -106.6474<U+FEFF> (Albuquerque)"
33,"Tucson","Arizona","530,706","520,116","7000203608425812700<U+2660>+2.04%","226.7 sq mi","587.2 km2","2,294/sq mi","886/km2","32°09'15<U+2033>N 110°52'16<U+2033>W<U+FEFF> / <U+FEFF>32.1543°N 110.8711°W<U+FEFF> / 32.1543; -110.8711<U+FEFF> (Tucson)"
34,"Fresno","California","522,053","494,665","7000553667633651060<U+2660>+5.54%","113.2 sq mi","293.2 km2","4,418/sq mi","1,706/km2","36°46'58<U+2033>N 119°47'40<U+2033>W<U+FEFF> / <U+FEFF>36.7827°N 119.7945°W<U+FEFF> / 36.7827; -119.7945<U+FEFF> (Fresno)"
35,"Sacramento","California","495,234","466,488","7000616221639141840<U+2660>+6.16%","97.9 sq mi","253.6 km2","4,764/sq mi","1,839/km2","38°34'00<U+2033>N 121°28'07<U+2033>W<U+FEFF> / <U+FEFF>38.5666°N 121.4686°W<U+FEFF> / 38.5666; -121.4686<U+FEFF> (Sacramento)"
36,"Mesa","Arizona","484,587","439,041","7001103739741846430<U+2660>+10.37%","136.5 sq mi","353.5 km2","3,218/sq mi","1,242/km2","33°24'07<U+2033>N 111°43'03<U+2033>W<U+FEFF> / <U+FEFF>33.4019°N 111.7174°W<U+FEFF> / 33.4019; -111.7174<U+FEFF> (Mesa)"
37,"Kansas City","Missouri","481,420","459,787","7000470500470870210<U+2660>+4.71%","315.0 sq mi","815.8 km2","1,460/sq mi","560/km2","39°07'31<U+2033>N 94°33'04<U+2033>W<U+FEFF> / <U+FEFF>39.1252°N 94.5511°W<U+FEFF> / 39.1252; -94.5511<U+FEFF> (Kansas City, MO)"
38,"Atlanta","Georgia","472,522","420,003","7001125044344921350<U+2660>+12.50%","133.2 sq mi","345.0 km2","3,154/sq mi","1,218/km2","33°45'46<U+2033>N 84°25'22<U+2033>W<U+FEFF> / <U+FEFF>33.7629°N 84.4227°W<U+FEFF> / 33.7629; -84.4227<U+FEFF> (Atlanta)"
39,"Long Beach","California","470,130","462,257","7000170316512243190<U+2660>+1.70%","50.3 sq mi","130.3 km2","9,191/sq mi","3,549/km2","33°48'33<U+2033>N 118°09'19<U+2033>W<U+FEFF> / <U+FEFF>33.8091°N 118.1553°W<U+FEFF> / 33.8091; -118.1553<U+FEFF> (Long Beach)"
40,"Colorado Springs","Colorado","465,101","416,427","7001116884832155460<U+2660>+11.69%","194.5 sq mi","503.8 km2","2,141/sq mi","827/km2","38°52'02<U+2033>N 104°45'39<U+2033>W<U+FEFF> / <U+FEFF>38.8673°N 104.7607°W<U+FEFF> / 38.8673; -104.7607<U+FEFF> (Colorado Springs)"
41,"Raleigh","North Carolina","458,880","403,892","7001136145306170960<U+2660>+13.61%","142.9 sq mi","370.1 km2","2,826/sq mi","1,091/km2","35°49'49<U+2033>N 78°38'29<U+2033>W<U+FEFF> / <U+FEFF>35.8302°N 78.6414°W<U+FEFF> / 35.8302; -78.6414<U+FEFF> (Raleigh)"
42,"Miami","Florida","453,579","399,457","7001135488926217340<U+2660>+13.55%","35.9 sq mi","93.0 km2","11,539/sq mi","4,455/km2","25°46'31<U+2033>N 80°12'31<U+2033>W<U+FEFF> / <U+FEFF>25.7752°N 80.2086°W<U+FEFF> / 25.7752; -80.2086<U+FEFF> (Miami)"
43,"Virginia Beach[16]","Virginia","452,602","437,994","7000333520550509820<U+2660>+3.34%","249.0 sq mi","644.9 km2","1,759/sq mi","679/km2","36°46'45<U+2033>N 76°01'26<U+2033>W<U+FEFF> / <U+FEFF>36.7793°N 76.0240°W<U+FEFF> / 36.7793; -76.0240<U+FEFF> (Virginia Beach)"
44,"Omaha","Nebraska","446,970","408,958","7000929484201311630<U+2660>+9.29%","127.1 sq mi","329.2 km2","3,218/sq mi","1,242/km2","41°15'53<U+2033>N 96°02'31<U+2033>W<U+FEFF> / <U+FEFF>41.2647°N 96.0419°W<U+FEFF> / 41.2647; -96.0419<U+FEFF> (Omaha)"
45,"Oakland","California","420,005","390,724","7000749403671133590<U+2660>+7.49%","55.9 sq mi","144.8 km2","7,004/sq mi","2,704/km2","37°46'12<U+2033>N 122°13'32<U+2033>W<U+FEFF> / <U+FEFF>37.7699°N 122.2256°W<U+FEFF> / 37.7699; -122.2256<U+FEFF> (Oakland)"
46,"Minneapolis","Minnesota","413,651","382,578","7000812200387894760<U+2660>+8.12%","54.0 sq mi","139.9 km2","7,088/sq mi","2,737/km2","44°57'48<U+2033>N 93°16'06<U+2033>W<U+FEFF> / <U+FEFF>44.9633°N 93.2683°W<U+FEFF> / 44.9633; -93.2683<U+FEFF> (Minneapolis)"
47,"Tulsa","Oklahoma","403,090","391,906","7000285374554102260<U+2660>+2.85%","196.8 sq mi","509.7 km2","1,992/sq mi","769/km2","36°07'40<U+2033>N 95°54'08<U+2033>W<U+FEFF> / <U+FEFF>36.1279°N 95.9023°W<U+FEFF> / 36.1279; -95.9023<U+FEFF> (Tulsa)"
48,"Arlington","Texas","392,772","365,438","7000747979137363930<U+2660>+7.48%","95.9 sq mi","248.4 km2","3,811/sq mi","1,471/km2","32°42'03<U+2033>N 97°07'29<U+2033>W<U+FEFF> / <U+FEFF>32.7007°N 97.1247°W<U+FEFF> / 32.7007; -97.1247<U+FEFF> (Arlington)"
49,"New Orleans[17]","Louisiana","391,495","343,829","7001138632866919310<U+2660>+13.86%","169.4 sq mi","438.7 km2","2,029/sq mi","783/km2","30°04'07<U+2033>N 89°56'20<U+2033>W<U+FEFF> / <U+FEFF>30.0686°N 89.9390°W<U+FEFF> / 30.0686; -89.9390<U+FEFF> (New Orleans)"
50,"Wichita","Kansas","389,902","382,368","7000197035316762910<U+2660>+1.97%","159.3 sq mi","412.6 km2","2,400/sq mi","930/km2","37°41'27<U+2033>N 97°20'34<U+2033>W<U+FEFF> / <U+FEFF>37.6907°N 97.3427°W<U+FEFF> / 37.6907; -97.3427<U+FEFF> (Wichita)"
51,"Cleveland","Ohio","385,809","396,815","2999722641533208170<U+2660>-2.77%","77.7 sq mi","201.2 km2","5,107/sq mi","1,972/km2","41°28'41<U+2033>N 81°40'46<U+2033>W<U+FEFF> / <U+FEFF>41.4781°N 81.6795°W<U+FEFF> / 41.4781; -81.6795<U+FEFF> (Cleveland)"
52,"Tampa","Florida","377,165","335,709","7001123487901724410<U+2660>+12.35%","113.4 sq mi","293.7 km2","3,077/sq mi","1,188/km2","27°58'12<U+2033>N 82°28'47<U+2033>W<U+FEFF> / <U+FEFF>27.9701°N 82.4797°W<U+FEFF> / 27.9701; -82.4797<U+FEFF> (Tampa)"
53,"Bakersfield","California","376,380","347,483","7000831609028355340<U+2660>+8.32%","142.2 sq mi","368.3 km2","2,444/sq mi","944/km2","35°19'16<U+2033>N 119°01'06<U+2033>W<U+FEFF> / <U+FEFF>35.3212°N 119.0183°W<U+FEFF> / 35.3212; -119.0183<U+FEFF> (Bakersfield)"
54,"Aurora","Colorado","361,710","325,078","7001112686801321530<U+2660>+11.27%","154.1 sq mi","399.1 km2","2,110/sq mi","810/km2","39°42'30<U+2033>N 104°49'25<U+2033>W<U+FEFF> / <U+FEFF>39.7082°N 104.8235°W<U+FEFF> / 39.7082; -104.8235<U+FEFF> (Aurora)"
55,"Honolulu[2]","Hawaii","351,792","337,256","7000431007899044050<U+2660>+4.31%","60.5 sq mi","156.7 km2","5,573/sq mi","2,152/km2","21°19'33<U+2033>N 157°50'43<U+2033>W<U+FEFF> / <U+FEFF>21.3259°N 157.8453°W<U+FEFF> / 21.3259; -157.8453<U+FEFF> (Honolulu)"
56,"Anaheim","California","351,043","336,265","7000439474818967180<U+2660>+4.39%","49.8 sq mi","129.0 km2","6,748/sq mi","2,605/km2","33°51'20<U+2033>N 117°45'36<U+2033>W<U+FEFF> / <U+FEFF>33.8555°N 117.7601°W<U+FEFF> / 33.8555; -117.7601<U+FEFF> (Anaheim)"
57,"Santa Ana","California","334,217","324,528","7000298556673075980<U+2660>+2.99%","27.3 sq mi","70.7 km2","11,901/sq mi","4,595/km2","33°44'11<U+2033>N 117°52'57<U+2033>W<U+FEFF> / <U+FEFF>33.7365°N 117.8826°W<U+FEFF> / 33.7365; -117.8826<U+FEFF> (Santa Ana)"
58,"Corpus Christi","Texas","325,733","305,215","7000672247432138000<U+2660>+6.72%","160.6 sq mi","416.0 km2","1,900/sq mi","730/km2","27°45'15<U+2033>N 97°10'24<U+2033>W<U+FEFF> / <U+FEFF>27.7543°N 97.1734°W<U+FEFF> / 27.7543; -97.1734<U+FEFF> (Corpus Christi)"
59,"Riverside","California","324,722","303,871","7000686179332677350<U+2660>+6.86%","81.1 sq mi","210.0 km2","3,745/sq mi","1,446/km2","33°56'17<U+2033>N 117°23'36<U+2033>W<U+FEFF> / <U+FEFF>33.9381°N 117.3932°W<U+FEFF> / 33.9381; -117.3932<U+FEFF> (Riverside)"
60,"Lexington[18]","Kentucky","318,449","295,803","7000765577090157980<U+2660>+7.66%","283.6 sq mi","734.5 km2","1,043/sq mi","403/km2","38°02'25<U+2033>N 84°27'30<U+2033>W<U+FEFF> / <U+FEFF>38.0402°N 84.4584°W<U+FEFF> / 38.0402; -84.4584<U+FEFF> (Lexington)"
61,"St. Louis[16]","Missouri","311,404","319,294","2999752892318678080<U+2660>-2.47%","61.9 sq mi","160.3 km2","5,157/sq mi","1,991/km2","38°38'09<U+2033>N 90°14'41<U+2033>W<U+FEFF> / <U+FEFF>38.6357°N 90.2446°W<U+FEFF> / 38.6357; -90.2446<U+FEFF> (St. Louis)"
62,"Stockton","California","307,072","291,707","7000526727161158280<U+2660>+5.27%","61.7 sq mi","159.8 km2","4,730/sq mi","1,830/km2","37°58'35<U+2033>N 121°18'48<U+2033>W<U+FEFF> / <U+FEFF>37.9763°N 121.3133°W<U+FEFF> / 37.9763; -121.3133<U+FEFF> (Stockton)"
63,"Pittsburgh","Pennsylvania","303,625","305,704","3000319930390181350<U+2660>-0.68%","55.4 sq mi","143.5 km2","5,521/sq mi","2,132/km2","40°26'23<U+2033>N 79°58'36<U+2033>W<U+FEFF> / <U+FEFF>40.4398°N 79.9766°W<U+FEFF> / 40.4398; -79.9766<U+FEFF> (Pittsburgh)"
64,"Saint Paul","Minnesota","302,398","285,068","7000607925126636450<U+2660>+6.08%","52.0 sq mi","134.7 km2","5,484/sq mi","2,117/km2","44°56'56<U+2033>N 93°06'14<U+2033>W<U+FEFF> / <U+FEFF>44.9489°N 93.1039°W<U+FEFF> / 44.9489; -93.1039<U+FEFF> (Saint Paul)"
65,"Cincinnati","Ohio","298,800","296,943","6999625372546246240<U+2660>+0.63%","77.9 sq mi","201.8 km2","3,810/sq mi","1,470/km2","39°08'24<U+2033>N 84°30'23<U+2033>W<U+FEFF> / <U+FEFF>39.1399°N 84.5064°W<U+FEFF> / 39.1399; -84.5064<U+FEFF> (Cincinnati)"
66,"Anchorage[19]","Alaska","298,192","291,826","7000218143688362240<U+2660>+2.18%","1,704.7 sq mi","4,415.2 km2","171/sq mi","66/km2","61°13'03<U+2033>N 149°53'43<U+2033>W<U+FEFF> / <U+FEFF>61.2176°N 149.8953°W<U+FEFF> / 61.2176; -149.8953<U+FEFF> (Anchorage)"
67,"Henderson","Nevada","292,969","257,729","7001136732769692200<U+2660>+13.67%","107.7 sq mi","278.9 km2","2,392/sq mi","924/km2","36°00'44<U+2033>N 115°02'15<U+2033>W<U+FEFF> / <U+FEFF>36.0122°N 115.0375°W<U+FEFF> / 36.0122; -115.0375<U+FEFF> (Henderson)"
68,"Greensboro","North Carolina","287,027","269,666","7000643796399991100<U+2660>+6.44%","126.5 sq mi","327.6 km2","2,131/sq mi","823/km2","36°05'47<U+2033>N 79°49'38<U+2033>W<U+FEFF> / <U+FEFF>36.0965°N 79.8271°W<U+FEFF> / 36.0965; -79.8271<U+FEFF> (Greensboro)"
69,"Plano","Texas","286,057","259,841","7001100892468855950<U+2660>+10.09%","71.6 sq mi","185.4 km2","3,630/sq mi","1,400/km2","33°03'03<U+2033>N 96°44'52<U+2033>W<U+FEFF> / <U+FEFF>33.0508°N 96.7479°W<U+FEFF> / 33.0508; -96.7479<U+FEFF> (Plano)"
70,"Newark","New Jersey","281,764","277,140","7000166847080897740<U+2660>+1.67%","24.2 sq mi","62.7 km2","11,458/sq mi","4,424/km2","40°43'27<U+2033>N 74°10'21<U+2033>W<U+FEFF> / <U+FEFF>40.7242°N 74.1726°W<U+FEFF> / 40.7242; -74.1726<U+FEFF> (Newark)"
71,"Lincoln","Nebraska","280,364","258,379","7000850881844112720<U+2660>+8.51%","89.1 sq mi","230.8 km2","2,899/sq mi","1,119/km2","40°48'32<U+2033>N 96°40'49<U+2033>W<U+FEFF> / <U+FEFF>40.8090°N 96.6804°W<U+FEFF> / 40.8090; -96.6804<U+FEFF> (Lincoln)"
72,"Toledo","Ohio","278,508","287,208","2999697083646695080<U+2660>-3.03%","80.7 sq mi","209.0 km2","3,559/sq mi","1,374/km2","41°39'51<U+2033>N 83°34'55<U+2033>W<U+FEFF> / <U+FEFF>41.6641°N 83.5819°W<U+FEFF> / 41.6641; -83.5819<U+FEFF> (Toledo)"
73,"Orlando","Florida","277,173","238,300","7001163126311372220<U+2660>+16.31%","102.4 sq mi","265.2 km2","2,327/sq mi","898/km2","28°24'57<U+2033>N 81°17'56<U+2033>W<U+FEFF> / <U+FEFF>28.4159°N 81.2988°W<U+FEFF> / 28.4159; -81.2988<U+FEFF> (Orlando)"
74,"Chula Vista","California","267,172","243,916","7000953442988569830<U+2660>+9.53%","49.6 sq mi","128.5 km2","4,915/sq mi","1,898/km2","32°37'40<U+2033>N 117°00'55<U+2033>W<U+FEFF> / <U+FEFF>32.6277°N 117.0152°W<U+FEFF> / 32.6277; -117.0152<U+FEFF> (Chula Vista)"
75,"Irvine","California","266,122","212,375","7001253075927015890<U+2660>+25.31%","66.1 sq mi","171.2 km2","3,213/sq mi","1,241/km2","33°40'42<U+2033>N 117°46'17<U+2033>W<U+FEFF> / <U+FEFF>33.6784°N 117.7713°W<U+FEFF> / 33.6784; -117.7713<U+FEFF> (Irvine)"
76,"Fort Wayne","Indiana","264,488","253,691","7000425596493371860<U+2660>+4.26%","110.6 sq mi","286.5 km2","2,293/sq mi","885/km2","41°05'18<U+2033>N 85°08'38<U+2033>W<U+FEFF> / <U+FEFF>41.0882°N 85.1439°W<U+FEFF> / 41.0882; -85.1439<U+FEFF> (Fort Wayne)"
77,"Jersey City","New Jersey","264,152","247,597","7000668626841197590<U+2660>+6.69%","14.8 sq mi","38.3 km2","16,737/sq mi","6,462/km2","40°42'41<U+2033>N 74°03'53<U+2033>W<U+FEFF> / <U+FEFF>40.7114°N 74.0648°W<U+FEFF> / 40.7114; -74.0648<U+FEFF> (Jersey City)"
78,"Durham","North Carolina","263,016","228,330","7001151911706740240<U+2660>+15.19%","107.4 sq mi","278.2 km2","2,127/sq mi","821/km2","35°58'52<U+2033>N 78°54'20<U+2033>W<U+FEFF> / <U+FEFF>35.9810°N 78.9056°W<U+FEFF> / 35.9810; -78.9056<U+FEFF> (Durham)"
79,"St. Petersburg","Florida","260,999","244,769","7000663074163803420<U+2660>+6.63%","61.7 sq mi","159.8 km2","3,964/sq mi","1,531/km2","27°45'43<U+2033>N 82°38'39<U+2033>W<U+FEFF> / <U+FEFF>27.7620°N 82.6441°W<U+FEFF> / 27.7620; -82.6441<U+FEFF> (St. Petersburg)"
80,"Laredo","Texas","257,156","236,091","7000892240703796420<U+2660>+8.92%","88.9 sq mi","230.2 km2","2,655/sq mi","1,025/km2","27°32'52<U+2033>N 99°29'13<U+2033>W<U+FEFF> / <U+FEFF>27.5477°N 99.4869°W<U+FEFF> / 27.5477; -99.4869<U+FEFF> (Laredo)"
81,"Buffalo","New York","256,902","261,310","2999831311469136269<U+2660>-1.69%","40.4 sq mi","104.6 km2","6,471/sq mi","2,498/km2","42°53'33<U+2033>N 78°51'35<U+2033>W<U+FEFF> / <U+FEFF>42.8925°N 78.8597°W<U+FEFF> / 42.8925; -78.8597<U+FEFF> (Buffalo)"
82,"Madison","Wisconsin","252,551","233,209","7000829384800758120<U+2660>+8.29%","76.8 sq mi","198.9 km2","3,037/sq mi","1,173/km2","43°05'16<U+2033>N 89°25'48<U+2033>W<U+FEFF> / <U+FEFF>43.0878°N 89.4301°W<U+FEFF> / 43.0878; -89.4301<U+FEFF> (Madison)"
83,"Lubbock","Texas","252,506","229,573","7000998941513157030<U+2660>+9.99%","122.4 sq mi","317.0 km2","1,875/sq mi","724/km2","33°33'59<U+2033>N 101°53'12<U+2033>W<U+FEFF> / <U+FEFF>33.5665°N 101.8867°W<U+FEFF> / 33.5665; -101.8867<U+FEFF> (Lubbock)"
84,"Chandler","Arizona","247,477","236,123","7000480851081851410<U+2660>+4.81%","64.4 sq mi","166.8 km2","3,666/sq mi","1,415/km2","33°16'58<U+2033>N 111°51'18<U+2033>W<U+FEFF> / <U+FEFF>33.2829°N 111.8549°W<U+FEFF> / 33.2829; -111.8549<U+FEFF> (Chandler)"
